id,Location,Chips,Cost,Hunger,Length,Circum,Volume,overall,Reviewer,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa49,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Neighborhood,Yelp,Google,california,carne_asada,carnitas,california_everything,local,surf_and_turf,al_pastor,adobada,surfin_california,burrito_forstat,None,utc,miramar,north_park,clairemont,linda_vista,la_jolla,encinitas,carlsbad,oceanside,hillcrest,san_marcos,pacific_beach,downtown,university_heights,kearny_mesa,carmel_valley,taco_villa,lucha_libre_north_park,california_burritos,rigoberto_s_taco_shop,taco_stand,los_tacos,lolita_s_taco_shop,vallarta_express,los_primos_mexican_food,el_zarape,valentine_s_mexican_food,valentines_mexican_food,tony_s_fresh_mexican_food,cancun_mexican_&_seafood,lupe_s_taco_shop,length_na,length_25,length_50,circum_na,circum_25,circum_50,volume_na,volume_25,volume_50,yelp_na,yelp_25,yelp_50,google_na,google_25,google_50,neg,pos,compound,good_grade
26,lola's 7 up market & deli,0,-0.0451011762890213,0.005724215453194856,null,null,null,3,scott,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carlsbad,4.5,4.9,0,1,0,0,0,0,0,0,0,carne asada,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.23685624780129297,3.847466564841965,2.315212563527023,0
29,colima's mexican food,0,-0.38643616257794405,1.241567654322525,null,null,null,3,eli,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,north park,4,4.2,0,0,0,0,0,0,0,0,0,Special Burrito,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-0.23685624780129297,1.4584755888987595,0.6255548148108032,0
65,taco stand,0,0.550561838999491,-1.8480409428508004,null,null,null,3.5,richard,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,0,1,0,0,0,0,0,0,0,carne asada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1.5395372921708859,-0.41943771557400883,-1.209812761687522,0
191,los cabos,1,-0.7210783059984567,0.6236459348878599,18.5,21,0.65,3,scott,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,san marcos,4,4.1,1,0,0,0,0,0,0,0,0,california,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-0.23685624780129297,-0.41943771557400883,-0.256936345541834,0
418,valentine's mexican food,0,-0.7143854631300466,-3.0838843817201305,17,20.5,0.57,3.5,anon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,0,0,0,0,0,0,1,0,0,al pastor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,-0.23685624780129297,-0.41943771557400883,-0.256936345541834,0
222,tacos la bala,0,-1.3903625928394818,0.005724215453194856,null,null,null,2.5,scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,houston,4.5,4.1,0,0,0,0,0,0,0,0,0,Special Burrito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.23685624780129297,-0.41943771557400883,-0.256936345541834,0
270,donato's taco shop,0,-0.7210783059984567,0.6236459348878599,19.5,21.5,0.72,3,scott,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,0,0,0,0,0,0,1,0,0,al pastor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,-0.23685624780129297,-0.41943771557400883,-0.256936345541834,0
293,pollos maria,0,-0.05179401915743141,0.005724215453194856,20.5,22.5,0.83,3.8,scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,carlsbad,4,3.8,0,0,0,0,0,0,0,0,0,Special Burrito,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.3383182799436106,1.4644183525205088,0.7202250419008716,1
243,rigoberto's taco shop,0,-0.5136001770777391,0.6236459348878599,22,22,0.85,4.2,luis,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,miramar,4,4.4,0,0,0,0,0,0,0,0,0,Special Burrito,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,-0.23685624780129297,-0.41943771557400883,-0.256936345541834,1
278,el zarape,0,-0.5470643914197902,0.6236459348878599,17,19.5,0.51,3.9,scott,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,university heights,4,4.4,1,0,0,0,0,0,0,0,0,california,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,-0.23685624780129297,-0.41943771557400883,-0.256936345541834,1
